Dates,Open,High,Low,Close,Volume,roc_1,roc_2,roc_3,roc_average,roc_indicator,Signal,Trades
04-10-2001,900.9,907.8,895,905.75,0,-0.000696196,-0.006116437,-0.003861324,-0.003557985,0,0,0
05-10-2001,899.45,907.5,896.1,903.25,0,0.000747309,-0.00604802,-0.003865413,-0.003055374,0,0,0
08-10-2001,893.8,901.05,882,891.2,0,0.004185177,-0.006338055,-0.004076865,-0.002076581,0,0,0
09-10-2001,904,906,897,903.3,0,0.0036251,-0.005683351,-0.003817653,-0.001958634,0,0,0
10-10-2001,906,930.5,906,928.65,0,0.007763272,-0.004815534,-0.003234426,-9.56E-05,0,0,0
11-10-2001,935,950.85,935,948.4,0,0.008549845,-0.003822239,-0.002714071,0.000671178,0,0,0
12-10-2001,950.9,957.8,941.25,944.35,0,0.006106742,-0.003718965,-0.00304552,-0.000219248,0,0,0
15-10-2001,948,948,939.15,944.95,0,0.003989215,-0.003720305,-0.003062172,-0.000931087,0,0,0
16-10-2001,946,965.95,943,962.75,0,0.007575842,-0.002958688,-0.002535234,0.000693973,0,0,0
17-10-2001,969.9,975.7,965,970.25,0,0.009207046,-0.002382476,-0.002269,0.001518523,0,0,0
18-10-2001,960,966,953.3,956.5,0,0.005603091,-0.001196755,-0.002613163,0.000597725,1,1,1
19-10-2001,950.05,966,950.05,964.15,0,0.006742319,-0.000459322,-0.002472078,0.001270306,1,1,0
22-10-2001,970.05,988,969.3,971.65,0,0.009027154,0.002092381,-0.00230426,0.002938425,1,1,0
23-10-2001,980.4,989.9,978.8,988.4,0,0.009421012,0.005679954,-0.001972182,0.004376261,1,1,0
24-10-2001,992,994,981,985.95,0,0.006170247,0.003713146,-0.001983145,0.002633416,1,1,0
25-10-2001,990.05,992,979.6,983.2,0,0.003669338,0.003118079,-0.002011924,0.001591831,1,1,0
29-10-2001,975,979,960.5,964.45,0,0.002128448,0.00302939,-0.002342245,0.000938531,0,0,-1
30-10-2001,957,957,948,950,0,0.00053442,0.004423661,-0.002573182,0.000794966,0,0,0
31-10-2001,948.15,965.5,945.5,961.45,0,-0.00013503,0.004118389,-0.002171384,0.000603992,0,0,0
01-11-2001,966,983.5,964.2,981.4,0,0.001149188,0.005553815,-0.001760597,0.001647469,0,0,0
02-11-2001,977,997.1,972,983.05,0,0.002775745,0.005006295,-0.001562798,0.002073081,0,0,0
05-11-2001,978,984.4,971.05,976.25,0,0.001254991,0.003876404,-0.001558373,0.001191008,0,0,0
06-11-2001,981,994.85,981,993,0,0.002197293,0.003710796,-0.001172194,0.001578632,0,0,0
07-11-2001,996.7,999,973.1,976,0,-0.001254553,0.003622549,-0.001530563,0.000279144,0,0,0
08-11-2001,972.5,992.5,972.5,988.3,0,0.000238349,0.00449547,-0.001051662,0.001227385,0,0,0
09-11-2001,986,994,983.6,990.05,0,0.000696705,0.003722882,0.000102688,0.001507425,0,0,0
12-11-2001,991.8,999,990.35,996.3,0,0.0033024,0.004120675,0.000536987,0.002653354,0,0,0
13-11-2001,993.75,996.75,985.25,993.65,0,0.004594737,0.004598294,0.001903395,0.003698809,0,0,0
14-11-2001,997.95,1007.5,997.95,1006.1,0,0.004644027,0.004552197,0.004061236,0.004419154,1,1,1
15-11-2001,1007.9,1029,1005,1026.8,0,0.004626044,0.004227642,0.003452671,0.004102119,1,1,0
19-11-2001,1029.95,1061.9,1029.95,1059.1,0,0.007736127,0.004668916,0.004029163,0.005478069,1,1,0
20-11-2001,1063,1065.8,1040,1043.4,0,0.006878361,0.004195478,0.004094864,0.005056234,1,1,0
21-11-2001,1043.7,1057.9,1039,1053.85,0,0.006127895,0.004609768,0.005799918,0.005512527,0,0,-1
22-11-2001,1057,1071.9,1055,1057.5,0,0.00835041,0.00393664,0.005328668,0.005871906,0,0,0
23-11-2001,1061.3,1065.9,1052.25,1057.7,0,0.007022159,0.003605256,0.005684653,0.005437356,0,0,0
26-11-2001,1066,1085,1066,1082.9,0,0.009378314,0.005285938,0.005986036,0.00688343,0,0,0
27-11-2001,1094.8,1094.8,1070.25,1073.45,0,0.007743652,0.004534564,0.00515309,0.005810435,0,0,0
28-11-2001,1066.05,1076,1065.6,1070,0,0.007683792,0.004048783,0.004437658,0.005390078,0,0,0
29-11-2001,1065.15,1074,1062.25,1067.15,0,0.006067985,0.003186969,0.004810325,0.004688426,0,0,0
03-12-2001,1055,1063.85,1053.5,1057.5,0,0.002989871,0.002902784,0.00475688,0.003549845,0,0,0
04-12-2001,1055.1,1083.8,1055.1,1080.3,0,0.0020017,0.003950366,0.004817831,0.003589965,-1,-1,-1
05-12-2001,1085,1110,1085,1105.65,0,0.005966072,0.005856187,0.005601993,0.005808084,1,1,2
06-12-2001,1114.5,1123.95,1102.5,1105.85,0,0.004934289,0.006562105,0.006021376,0.005839256,0,0,-1
07-12-2001,1101.35,1118.95,1087,1112,0,0.005153664,0.006263456,0.005776043,0.005731055,0,0,0
10-12-2001,1109.8,1116.9,1107.25,1112.15,0,0.005147963,0.005329122,0.004939967,0.005139017,0,0,0
11-12-2001,1109,1120.9,1105,1108.6,0,0.002373257,0.005108591,0.004222902,0.003901583,0,0,0
12-12-2001,1112,1116,1105.6,1109.15,0,0.003325725,0.005445327,0.004362789,0.004377947,0,0,0
13-12-2001,1109,1109.9,1066.1,1094.35,0,0.002275701,0.004082578,0.00395259,0.003436956,0,0,0
14-12-2001,1082.1,1091.4,1082.1,1089.55,0,0.002099049,0.004653689,0.003292651,0.003348463,0,0,0
18-12-2001,1088,1095.05,1073,1083.75,0,0.00248227,0.003863199,0.002924504,0.003089991,0,0,0
19-12-2001,1084.4,1085,1060.1,1064.25,0,-0.001485698,0.002997828,0.002816257,0.001442796,0,0,0
20-12-2001,1055.3,1068,1052,1063.1,0,-0.003848415,0.002681923,0.002565731,0.000466413,0,0,0
21-12-2001,1056,1060.5,1037.65,1051.15,0,-0.004946421,0.002314698,0.00204549,-0.000195411,0,0,0
24-12-2001,1050,1056,1032.15,1054.8,0,-0.005143885,0.001936189,0.001679482,-0.000509405,0,0,0
26-12-2001,1053,1057.75,1032.1,1036.45,0,-0.006806636,0.000375925,0.001280491,-0.00171674,-1,-1,-1
27-12-2001,1032,1039.75,1019.1,1020,0,-0.007992062,-0.001476726,0.00093572,-0.002844356,-1,-1,0
28-12-2001,1023,1047.9,1016.5,1043.9,0,-0.005882883,1.92E-05,0.002059464,-0.001268084,-1,-1,0
31-12-2001,1050,1066.4,1046,1063.6,0,-0.002809887,0.000370072,0.002989474,0.000183219,-1,-1,0
