Dates,0,1,2,3,4,5,6,7
2007-02-06,110.0,63.850000000000364,1664.749999999999,1753.5999999999995,1719.8499999999995,0.9679623222955488,1.0196238044015467,-0.05166148210599786
2007-02-07,98.85000000000036,89.0,1694.749999999999,1746.5999999999995,1731.999999999999,0.9784930715935335,1.008429561200924,-0.029936489607390482
2007-02-08,159.0,34.0,1735.749999999999,1705.749999999999,1719.999999999999,1.0091569767441861,0.9917151162790697,0.01744186046511642
2007-02-09,93.0,140.0,1658.749999999999,1779.749999999999,1728.999999999999,0.9593695777906304,1.0293522267206479,-0.06998264893001749
2007-02-12,25.0,292.0,1627.8499999999995,1876.749999999999,1825.6999999999998,0.8916306074382426,1.027961877635975,-0.13633127019773228
2007-02-13,132.89999999999964,270.0,1655.749999999999,2050.8499999999995,1970.5999999999995,0.8402263270070027,1.040723637470821,-0.20049731046381836
2007-02-14,90.0,593.8999999999996,1711.8499999999995,2427.749999999999,2236.75,0.7653291606124956,1.0853917514250582,-0.3200625908125626
2007-02-15,368.0,30.0,1993.8499999999995,2274.8499999999995,2318.6000000000004,0.8599370309669625,0.9811308548261878,-0.12119382385922528
2007-02-19,212.0,29.0,2086.8499999999995,2262.3499999999995,2378.1000000000004,0.8775282788780956,0.9513266893738695,-0.07379841049577396
2007-02-20,109.0,128.0,2131.3499999999995,2270.6499999999996,2371.4000000000005,0.8987728767816475,0.9575145483680523,-0.05874167158640475
2007-02-21,44.0,152.94999999999982,2015.6499999999996,2246.5999999999995,2238.3500000000004,0.9005070699399108,1.0036857506645516,-0.10317868072464076
2007-02-22,53.94999999999982,252.44999999999982,1829.6999999999998,2319.0499999999993,2257.9000000000005,0.8103547544178216,1.0270826874529424,-0.21672793303512083
2007-02-23,64.44999999999982,400.0,1620.1499999999996,2644.1499999999996,2353.9000000000005,0.6882832745656142,1.123306002803857,-0.43502272823824284
2007-02-26,175.0,297.85000000000036,1735.1499999999996,2773.0,2501.750000000001,0.6935744978515036,1.1084241031278101,-0.41484960527630654
2007-02-27,206.85000000000036,199.80000000000018,1832.0,2908.95,2586.7000000000007,0.7082382958982485,1.124579580160049,-0.4163412842618006
2007-02-28,19.199999999999818,493.0,1752.3499999999995,3312.95,2856.6500000000005,0.6134283163845761,1.1597325538655414,-0.5463042374809653
2007-03-01,292.0,215.0,1885.3499999999995,3493.95,2969.6500000000005,0.6348727964574947,1.1765527924166144,-0.5416799959591196
2007-03-02,228.89999999999964,223.0,2021.249999999999,3576.95,3075.55,0.6571995252881595,1.1630277511339433,-0.5058282258457838
2007-03-05,75.0,489.89999999999964,2071.249999999999,3774.8499999999995,3135.2,0.6606436590967081,1.2040220719571317,-0.5433784128604237
2007-03-06,230.0,130.0,2168.3499999999995,3634.8499999999995,3100.3,0.6994000580588973,1.172418798180821,-0.4730187401219237
2007-03-07,227.0,224.0,2305.3499999999995,3264.95,2919.0,0.7897738951695784,1.1185166152792052,-0.3287427201096268
2007-03-08,310.0,199.0,2247.3499999999995,3433.95,3001.5999999999995,0.7487173507462687,1.1440398454157783,-0.39532249466950964
2007-03-09,316.0,106.0,2351.3499999999995,3510.95,3053.5999999999995,0.7700255436206445,1.1497740372019913,-0.3797484935813469
2007-03-12,146.0,153.39999999999964,2388.3499999999995,3536.3499999999995,3063.999999999999,0.7794875979112272,1.1541612271540471,-0.3746736292428199
